iter k,epoch,num M,valid_loss,valid_acc,train_loss,train_acc
208,8.67,106.5,1.4534,0.6861,1.3431,0.6858
209,8.71,107.01,1.4347,0.6912,1.3244,0.6955
210,8.75,107.52,1.4318,0.6916,1.3265,0.6983
211,8.79,108.03,1.4268,0.6919,1.2533,0.7103
212,8.84,108.54,1.4267,0.6913,1.3024,0.7082
213,8.88,109.06,1.4209,0.6919,1.2726,0.7082
214,8.92,109.57,1.4206,0.6928,1.2707,0.7078
215,8.96,110.08,1.4161,0.693,1.2947,0.7031
216,9,110.59,1.4169,0.692,1.2873,0.7044
217,9.04,111.1,1.4154,0.6932,1.2983,0.7073
218,9.09,111.62,1.4162,0.6928,1.304,0.7046
219,9.13,112.13,1.414,0.6935,1.2975,0.7033
220,9.17,112.64,1.4145,0.6941,1.2729,0.7125
221,9.21,113.15,1.4124,0.6939,1.2679,0.7086
222,9.25,113.66,1.4135,0.6925,1.2636,0.7043
223,9.29,114.18,1.4134,0.6933,1.2829,0.7111
224,9.34,114.69,1.4113,0.6954,1.2912,0.7047
225,9.38,115.2,1.4106,0.6944,1.2962,0.7043
226,9.42,115.71,1.4122,0.6933,1.277,0.7084
227,9.46,116.22,1.413,0.6948,1.2644,0.7083
228,9.5,116.74,1.4089,0.6947,1.3082,0.7065
229,9.55,117.25,1.4098,0.6937,1.2506,0.7115
230,9.59,117.76,1.4101,0.6944,1.2627,0.7065
231,9.63,118.27,1.4101,0.6944,1.2639,0.7074
232,9.67,118.78,1.4097,0.6948,1.2784,0.7009
233,9.71,119.3,1.4122,0.6923,1.2739,0.7109
234,9.75,119.81,1.41,0.6949,1.2503,0.709
235,9.8,120.32,1.4104,0.6955,1.2613,0.7124
236,9.84,120.83,1.4086,0.6948,1.2725,0.7099
237,9.88,121.34,1.4089,0.694,1.2751,0.7118
238,9.92,121.86,1.4065,0.6952,1.2693,0.7079
239,9.96,122.37,1.4034,0.6949,1.2557,0.7079
240,10,122.88,1.4067,0.6957,1.2578,0.7096
241,10.05,123.39,1.4039,0.6962,1.2603,0.7082
242,10.09,123.9,1.4052,0.6964,1.2521,0.7115
243,10.13,124.42,1.4052,0.6962,1.2355,0.715
